model_id,hp,weight,engine_cap,seats,length,width,height,trans_5_manual,trans_5_manual_4_auto,trans_5_manual_6_auto,trans_5_manual_cvt,trans_6_dct,trans_6_dct_5_manual,trans_6_dct_6_manual,trans_6_dct_7_dct,trans_6_auto,trans_6_auto_7_dct,trans_6_auto_8_auto,trans_6_manual,trans_6_manual_6_dct,trans_6_manual_6_auto,trans_6_manual_7_dct,trans_6_manual_8_auto,trans_6_manual_cvt,trans_7_dct,trans_7_dct_8_auto,trans_8_auto,trans_9_auto,trans_cvt,trans_cvt_5_manual,trans_cvt_6_dct,trans_cvt_6_manual,trans_cvt_7_dct,trans_reducer,fuel_petrol_92,fuel_petrol_95,fuel_petrol_diesel,fuel_hybrid_95,fuel_hybrid,fuel_diesel_petrol,fuel_electric,body_offroad,body_crossover,body_liftback,body_minivan,body_pickup,body_sedan,body_universal,body_hatchback,drive_awd,drive_fwd,drive_fwd_awd,drive_rwd,drive_rwd_awd,Sentiment_Score,visual_vector,offroad_capability,msrp,brand_status,tco_fuel,vat_included,warranty,stock_status
Haval_H2,150,1670,1.5,5,4691,1866,1660,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.66,[0.35374789 0.90557823 0.36826878 ... 0.51210313 0.20073292 0.92273064],0,3417500.0,2,618206.5217391304,1,1,8
Haval_H3,143,1550,1.5,5,4335,1814,1695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.62,[0.316735   0.50803502 0.58237182 ... 0.25113389 0.72322226 0.27484926],0,3303500.0,2,584293.4782608696,1,1,8
Haval_H5,150,1445,2.0,5,4472,1841,1574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.62,[0.20922292 0.51328945 0.4831328  ... 0.5159623  0.33049239 0.28062569],1,3361250.0,2,603369.5652173914,1,1,14
Haval_H6,150,1535,1.5,5,4664,1830,1729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.62,[0.65183747 0.38693511 0.54178679 ... 0.14096016 0.07056932 0.30209807],0,3383750.0,2,580054.347826087,1,1,12
Haval_H6Coupe,190,1610,2.0,5,4520,1875,1745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.6,[0.16697941 0.33210351 0.5416265  ... 0.17054341 0.21604238 0.34659262],0,3882500.0,2,650000.0,1,1,14
Haval_H7,231,2120,2.0,5,5190,1905,1835,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.6,[0.57380962 0.73818445 0.2738184  ... 0.2650736  0.13472304 0.51307678],0,4502000.0,2,794130.4347826086,1,1,13
Haval_H9,218,2405,2.0,7,4856,1926,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.6,[0.35422177 0.59149141 0.71268978 ... 0.41589632 0.32043815 0.19664812],1,4417250.0,2,874673.9130434784,1,1,11
Haval_Jolion,143,1600,1.5,5,4653,1886,1730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.56,[0.42096214 0.61440139 0.45977859 ... 0.31428969 0.46042695 0.9781889 ],0,3316000.0,2,598423.9130434783,1,1,12
Haval_M6,143,1700,1.5,5,4589,1835,1702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.56,[0.24753594 0.3030873  0.39092792 ... 0.19802896 0.20277809 0.37429298],0,2672800.0,1,626684.7826086956,1,1,12
Hongqi_E-HS3,155,1950,0.0,5,4715,1925,1718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.56,[0.5199428  0.67772754 0.45895064 ... 0.35721505 0.17735076 0.3554337 ],0,4966500.0,2,137771.73913043475,1,1,58
